I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Май 2016г.	В % к	Январь- май 2016г. в % к январю- маю 2015г.	Справочно			
		маю 2015г.	апрелю 2016г.		май 2015г. в % к	январь- май 2015г. в % к январю- маю 2014г.	
					маю 2014г.	апрелю 2015г.	
Валовой внутренний продукт, млрд.рублей	18561,31)	98,82)			97,23)		
Индекс промышленного производства		100,7	98,8	100,1	94,5	98,6	97,7
Продукция сельского хозяйства, млрд.рублей	327,9	102,6	112,7	102,7	102,7	112,8	103,3
Грузооборот транспорта, млрд.т-км	416,8	100,6	101,1	101,1	96,1	101,2	98,0
в том числе железнодорожного транспорта	195,6	103,0	102,9	101,4	99,1	102,3	99,6
Оборот розничной торговли, млрд.рублей	2239,3	93,9	100,8	94,3	90,6	102,2	91,9
Объем платных услуг населению, млрд.рублей	669,4	100,2	97,3	99,2	97,04)	96,8	98,74)
Внешнеторговый оборот, млрд.долларов США	37,05)	78,96)	96,67)	74,38)	62,26)	93,87)	67,18)
в том числе: экспорт товаров	21,9	71,2	95,1	67,9	64,5	93,3	70,9
импорт товаров	15,1	93,5	98,9	87,1	58,2	94,6	60,7
Инвестиции в основной капитал, млрд.рублей	2149,49)	95,22)			95,23)		
Индекс потребительских цен		107,3	100,4	107,9	115,8	100,4	116,2
Индекс цен производителей промышленных товаров		103,2	101,0	103,1	113,4	98,8	111,6
Реальные располагаемые денежные доходы10)		94,3	88,5	95,1	92,34)	87,2	96,54)
Среднемесячная начисленная заработная плата работников организаций11):							
номинальная, рублей	36570	106,2	100,2	107,1	107,24)	100,1	105,94)
реальная		99,0	99,8	99,2	92,64)	99,8	91,24)
Общая численность безработных, млн.человек	4,310)	100,3	95,2	102,1	113,54)	97,1	105,94)
Численность официально зарегистрированных безработных, млн.человек	1,0	100,5	95,6	105,6	109,64)	98,8	104,24)
1) Данные за I квартал 2016г. (первая оценка). 2) I квартал 2016г. в % к I кварталу 2015 года. 3) I квартал 2015г. в % к I кварталу 2014 года. 4) Показатели рассчитаны без учета сведений по Республике Крым и г.Севастополю. 5) Данные за апрель 2016 года. 6) Апрель 2016г. и апрель 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Апрель 2016г. и апрель 2015г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-апрель 2016г. и январь-апрель 2015г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за I квартал 2016 года. 10) Предварительные данные. 11) Данные за периоды 2016г. - оценка.							
