I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Март 2017г.	В % к	I квар- тал 2017г. в % к I квар- талу 2016г.	Справочно			
		марту 2016г.	февралю 2017г.		март 2016г. в % к	I квар- тал 2016г. в % к I квар- талу 2015г.	
					марту 2015г.	февралю 2016г.	
Валовой внутренний продукт, млрд.рублей	86043,61)	99,82)			97,23)		
Индекс промышленного производства4)		100,8	112,7	100,1	100,3	108,8	101,1
Продукция сельского хозяйства, млрд.рублей	277,6	101,1	143,4	100,7	103,6	142,1	103,6
Грузооборот транспорта, млрд.т-км	450,1	104,0	106,8	105,4	99,8	106,6	101,5
в том числе железнодорожного транспорта	215,0	108,4	113,5	107,3	99,0	107,0	100,6
Оборот розничной торговли, млрд.рублей	2352,7	99,6	107,9	98,2	95,0	105,4	95,0
Объем платных услуг населению, млрд.рублей	712,0	98,7	103,4	99,7	99,0	102,5	98,8
Внешнеторговый оборот, млрд.долларов США	41,35)	125,36)	106,57)	133,68)	73,66)	122,27)	70,78)
в том числе: экспорт товаров	25,8	128,0	102,5	136,6	68,5	117,4	65,0
импорт товаров	15,6	121,1	113,9	128,8	83,5	130,6	82,4
Инвестиции в основной капитал, млрд.рублей	14639,89)	99,12)			89,93)		
Индекс потребительских цен		104,3	100,1	104,6	107,3	100,5	108,4
Индекс цен производителей промышленных товаров4)		111,3	99,7	113,0	102,1	103,0	105,1
Реальные располагаемые денежные доходы10)		97,5	101,4	99,8	99,1	100,1	96,3
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	3764010)	105,810)	105,010)	106,610)	108,9	104,8	107,7
реальная		101,510)	104,910)	101,910)	101,5	104,3	99,4
Общая численность безработных (в возрасте 15-72 лет), млн.человек	4,111)	90,0	97,2	94,0	101,4	103,1	102,6
Численность официально зарегистрированных безработных, млн.человек	0,9	85,8	98,3	86,9	106,0	99,3	108,0
"1) Данные за 2016г. (вторая оценка). 2) 2016г. в % к 2015 году. 3) 2015г. в % к 2014 году. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"". 5) Данные за февраль 2017 года. 6) Февраль 2017г. и февраль 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Февраль 2017г. и февраль 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-февраль 2017г. и январь-февраль 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за январь-декабрь 2016 года. 10) Оценка. 11) Предварительные данные."							
